Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Technical Solutions Engineer..,22245,2,11,118122,103017,15105,12.79
Technical Solutions Engineer..,21787,8,14,114684,108661,6023,5.25
Technical Solutions Engineer..,16305,2,48,89962,64185,25777,28.65
Technical Solutions Engineer..,21691,2,15,122261,104482,17779,14.54
Technical Solutions Engineer..,16227,2,48,117409,63741,53668,45.71
Technical Solutions Engineer..,18203,14,37,93608,74000,19608,20.95
Technical Solutions Engineer..,16249,2,48,121822,105063,16759,13.76
Technical Solutions Engineer..,21399,2,17,117271,98700,18571,15.84
Technical Solutions Engineer..,16246,2,48,103253,90175,13078,12.67
Technical Solutions Engineer..,22170,3,12,124546,107013,17533,14.08
Technical Solutions Engineer..,22553,2,9,123560,110366,13194,10.68
Technical Solutions Engineer..,18585,9,36,84392,75920,8472,10.04
Technical Solutions Engineer..,21418,2,17,95669,74719,20950,21.9
Technical Solutions Engineer..,22849,2,7,93185,70800,22385,24.02
Technical Solutions Engineer..,16313,3,48,116556,111829,4727,4.06
Technical Solutions Engineer..,22864,2,7,115286,108590,6696,5.81
Technical Solutions Engineer..,18868,14,34,104772,92547,12225,11.67
Technical Solutions Engineer..,18477,2,36,97853,85731,12122,12.39
Technical Solutions Engineer..,20069,3,26,80457,69603,10854,13.49
Technical Solutions Engineer..,18247,2,37,89630,78200,11430,12.75
Technical Solutions Engineer..,17665,2,39,108536,93041,15495,14.28
Technical Solutions Engineer..,21155,2,19,118899,97051,21848,18.38
Technical Solutions Engineer..,21969,2,13,73977,63186,10791,14.59
Technical Solutions Engineer..,16242,3,48,111754,98129,13625,12.19
Technical Solutions Engineer..,18770,9,35,108519,85922,22597,20.82
Technical Solutions Engineer..,18588,2,36,111835,97535,14300,12.79
Technical Solutions Engineer..,17672,9,39,87196,78035,9161,10.51
Technical Solutions Engineer..,18465,3,36,80779,68305,12474,15.44
Technical Solutions Engineer..,19918,9,28,94002,82089,11913,12.67
Technical Solutions Engineer..,19365,8,32,102059,84276,17783,17.42
Technical Solutions Engineer..,17667,2,39,97572,83360,14212,14.57
Technical Solutions Engineer..,22612,9,9,99552,88551,11001,11.05
Technical Solutions Engineer..,22436,2,10,119646,105562,14084,11.77
Technical Solutions Engineer..,16250,14,48,105764,90906,14858,14.05
Technical Solutions Engineer..,18206,3,37,94772,74490,20282,21.4
Technical Solutions Engineer..,19041,2,33,87043,71298,15745,18.09
Technical Solutions Engineer..,21937,9,13,120275,102217,18058,15.01
Technical Solutions Engineer..,18998,2,34,110352,86842,23510,21.3
Technical Solutions Engineer.Associate.,22117,2,12,99528,88221,11307,11.36
Technical Solutions Engineer.Associate.,21437,14,8,96995,91930,5065,5.22
Technical Solutions Engineer.Associate.,21779,9,14,93990,65656,28334,30.15
Technical Solutions Engineer.Associate.,22144,2,12,56628,51063,5565,9.83
Technical Solutions Engineer.Associate.,20453,3,24,87010,67088,19922,22.9
Technical Solutions Engineer.Associate.,20333,2,25,101450,73202,28248,27.84
Technical Solutions Engineer.Associate.,20444,2,24,83667,73330,10337,12.35
Technical Solutions Engineer.Associate.,20435,3,24,74127,65728,8399,11.33
Technical Solutions Engineer.Associate.,22619,9,9,88686,82614,6072,6.85
Technical Solutions Engineer.Associate.,20442,2,24,89204,69269,19935,22.35
Technical Solutions Engineer.Associate.,22430,2,10,93990,87863,6127,6.52
Technical Solutions Engineer.Associate.,20655,2,23,78816,68561,10255,13.01
Technical Solutions Engineer.Associate.,21848,9,13,88872,77730,11142,12.54
Technical Solutions Engineer.Associate.,17736,2,14,88970,76129,12841,14.43
Technical Solutions Engineer.Associate.,22095,3,12,106778,93809,12969,12.15
Technical Solutions Engineer.Associate.,22141,9,12,73622,60441,13181,17.9
Technical Solutions Engineer.Associate.,20448,3,24,89352,79134,10218,11.44
Technical Solutions Engineer.Associate.,17882,14,22,87102,77481,9621,11.05
Technical Solutions Engineer.Associate.,20024,3,12,112259,97820,14439,12.86
Technical Solutions Engineer.Associate.,20443,2,24,80502,71514,8988,11.16
Technical Solutions Engineer.Associate.,18280,2,16,103601,91024,12577,12.14
Technical Solutions Engineer.Associate.,20446,2,24,97103,83398,13705,14.11
Technical Solutions Engineer.Associate.,22150,3,12,68317,51646,16671,24.4
Technical Solutions Engineer.Associate.,21665,9,15,91968,87195,4773,5.19
Technical Solutions Engineer.Associate.,20438,3,24,60341,55649,4692,7.78
Technical Solutions Engineer.Associate.,21808,9,14,107990,92684,15306,14.17
Technical Solutions Engineer.Associate.,20451,3,24,72529,64486,8043,11.09
Technical Solutions Engineer.Associate.,22284,2,11,93990,89843,4147,4.41
Technical Solutions Engineer.Senior Lead.,4057,2,41,177146,123023,54123,30.55
Technical Solutions Engineer.Senior.,6236,14,108,183986,140764,43222,23.49
Technical Solutions Engineer.Senior.,6215,2,108,238415,146494,91921,38.56
Technical Support Engineer..,18483,14,36,82178,70847,11331,13.79
Technical Writer.Senior II.,4422,81,142,183373,115723,67650,36.89
Telecom Engineer II..,15611,46,52,161237,135403,25834,16.02
Travel and Vendor Management Specialist..,10514,58,48,65681,61112,4569,6.96
User Interface Engineer II..,17057,63,42,59556,57107,2449,4.11
User Interface Engineer..,22272,4,11,96185,88838,7347,7.64
User Interface Engineer.Senior II.,5444,63,37,272687,203335,69352,25.43
User Interface Engineer.Senior.,6258,4,108,176483,146858,29625,16.79
User Interface Engineer.Senior.,5734,63,70,220125,167269,52856,24.01
User Interface Engineer.Senior.,15354,63,55,186174,147766,38408,20.63
Vice President & Managing Director India..,4672,43,137,1024965,514604,510361,49.79
Vice President..Platform Delivery,3041,111,173,942563,167351,775212,82.25
Web Content Publisher..,18393,86,36,79423,70461,8962,11.28
Web Content Publisher.Senior.,19618,86,31,118142,101018,17124,14.49
Web Developer II..,8768,86,84,144956,98181,46775,32.27
Web Developer.Senior Lead.,8588,86,80,197513,151954,45559,23.07
Web Developer.Senior Lead.,6055,85,105,195345,150216,45129,23.1
Web Developer.Senior.,20761,86,22,227016,137084,89932,39.61
Web Developer.Senior.,19703,85,30,189110,136705,52405,27.71
